Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
GC,NSF Grant Conditions,TS,Document-12021,,A
gcc,The GNU Compiler Collection; a C and C++ compiler,Gen,,,A
GCE,Google Compute Engine,IT,,,A
GCN,General Coordinates Network,Gen,,,A
GCP,Google Cloud Platform,IT,,,A
GCS,Generic Control System,TSSW,,,A
GDR,Guider,CAM,,,A
GDS,Guider Data System,CAM,,,A
GEIA,Government Electronics and Information Association,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
GEO,Geosynchronous Earth Orbit,Gen,,,A
GFLOP,Giga FLOP,Gen,,,A
GFLOPS,Giga FLOP per Second,Gen,,,A
GID,Group Identifier,IT,,,A
GIS,Global Interlock System,,,,A
GLADE,Galaxy List for the Advanced Detector Era,Sci,https://arxiv.org/abs/1804.05709,,A
GLAST,Gamma-Ray Large Area Space Telescope,TS,Document-11965,,A
GLONASS,GLObal NAvigation Satellite System,Gen,,,A
GMT,Giant Magellan Telescope,OPS,,,A
GMTO,Giant Magellan Telescope Organization,OPS,,,A
GMU,George Mason University,TS,Document-11944,,A
GNU,GNU's Not Unix! An operating system and an extensive collection of free computer software,OPS DM,,,A
GOA,Government Office of Accounting,Gen,,,A
GOODS,The Great Observatories Origins Deep Survey,Sci,,,A
GP,Gaussian Process,Sci,,,A
GP,Galactic Plane,LSST,,,A
GPFS,General Parallel File System (now IBM Spectrum Scale),Gen,,,A
GPL,GNU Public License,Gen,,,A
GPP,Gemini Program Platform,Sci,,,A
GPS,Global Positioning System,Gen,,,A
GPU,Graphics Processing Unit,Gen,,,A
GR,General Relativity,Gen,,,A
GRB,Gamma-Ray Burst,Gen,,,A
GRE,Generic Routing Encapsulation,IT,,,A
GREB,Guider Readout Electronics Board,CAM,,,A
GSC,Galaxies Science Collaboration,Sci,,,A
GSE,Gaia Sausage-Enceladus,Sci,,,A
GST,Greenwich Sidereal Time,Gen,,,A
GUI,Graphical User Interface,Gen,,,A
GW,Gravitational Wave,Sci OPS,,,A
GZ,Galaxy Zoo,Sci OPS,,,A
HAR,Hazard Analysis Report,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
HB,Horizontal Branch,Sci,,,A
HBCU,Historically Black Colleges and Universities,Gen,,,A
HBS,Hydraulic Bearing Support,TS,,,A
HCU,Hardware Control Unit,CAM,,,A
HD,historical data,TS,Document-12003,,A
HDD, Hard Disk Drive,DM Gen,,,A
HDU,Header Data Unit,DM,,,A
HEALPix,Hierarchical Equal-Area iso-Latitude Pixelisation,Gen,,,A
HEASARC,NASA's Archive of Data on Energetic Phenomena,Gen,,,A
HELP, Herschel Extragalactic Legacy Project,Gen,,,A
HEP, High Energy Physics,Gen,,,A
HEP-CCE,High-Energy Physics Center for Computational Excellence (Argonne),DM,,,A
HEPA,High Efficiency Particulate Air,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
HEPAP,HEP Advisory Panel,TS,Document-11986,,A
HERMES,a high-resolution fibre-fed spectrograph for the 1.2m Mercator telescope,Sci,,,A
HI,Hydrogen iodide,Sci,,,A
HIPS,use HiPS,VO,,,A
HiPS,Hierarchical Progressive Survey (IVOA standard),VO,,,A
HITS,High Cadence Transient Survey,Sci,https://iopscience.iop.org/article/10.3847/0004-637X/832/2/155,,A
HM,Humidity Monitor,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
HPC,High Performance Computing,DM,,,A
HPO,Head of Program Operations,OPS,,,A
HPU,Hardware Protection Unit,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
HQ,Head Quarters,OPS,,,A
HR,Human Resources,Gen,,,A
HSC,Hyper Suprime-Cam,Gen,,,A
HSI,Hispanic Serving Institutions,Gen,,,A
HSM,Hierarchical Storage Management,DM,,,A
HST,Hubble Space Telescope,Gen,,,A
HTC,High Throughput Computing,DM,,,A
HTM,Hierarchical Triangular Mesh,Gen,,,A
HTML,HyperText Markup Language,Gen,,,A
HTP,Heat Transfer Plate,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
HTTP,HyperText Transfer Protocol,Gen,,,A
HV,High Voltage,Gen,,,A
HVAC,"Heating, Ventilation, and Air Conditioning",OPS,,,A
HW,HardWare,Gen,,,A
HZ,Hertz,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
I&T,Integration and Test,Gen,,,A
IA,Identification and Authentication,IT,,,A
IaC,Infrastructure as Code,IT,,,A
IAM,Identity and Access Management,IT,,,A
IaS,Infrastructure as a Service,IT,,,A
IAU,International Astronomical Union,Gen,,,A
IBM,International Business Machines,Gen,,,A
IC,Integrated Circuit,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ICBS,International Communications and Base Site,LSST DM,,,A
ICD,Interface Control Document,Adm,,,A
ICoD,Interface Compliance Document,Adm,,,A
ICRS,International Celestial Reference Frame,LSST DM,,,A
IDA,Interface Design Artifact,TS,,,A
IDAC,Independent Data Access Center,DM OPS,,,A
IDD,Interface Design Document,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
IDF,Interim Data Facility,OPS,,,A
IDL,Interactive Data Language,Gen,,,A
IDS,Intrusion Detection System,IT,,,A
IGWN,International Gravitational Wave Network,Sci,,,A
IIP,image ingest and processing,TS,Document-12029,,A
ILC,Inner Loop Controller,PSE,,,A
IMBH,Intermediate Mass Black Hole,Sci,,,A
IMC,Integrated Management Controller,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
IMF,Initial Mass Function,DM,,,A
IMS,Integrated Master Schedule,PSE,,,A
IMS,Image Management Service,CAM,,,A
ImSim,Image Simulation,Sims,,,A
IN2P3,Institut National de Physique Nucl√©aire et de Physique des Particules,Gen,,,A
INAF,Istituto Nazionale di Astrofisica,Gen,,,A
IO,Input/Output,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
IoA,Institute of Astronomy (Cambridge; also denoted IOA),Gen,,,A
IP,Internet Protocol,DM,,,A
IPA,"FreeIPA - Identity, Policy, Audit",DM,,,A
IPAC,No longer an acronym; science and data center at Caltech,Gen,,,A
IPC,In-kind Program Coordinator,OPS,,,A
IPEDS,Integrated Postsecondary Educational Data System,Gen,,,A
IPMI,Intelligent Platform Management Interface,CAM,,,A
IPS,Integrated Project Schedule,Adm,,,A
IPsec,Internet Protocol Security,DM,,,A
IR,infrared,Gen,Document-11949,,A
IR,Incident Response,IT,,,A
IR2,Interaction Region 2 (at SLAC),Gen,,,A
IR2,Infrared 2 Camera,Gen,,,A
IRAF,Image Reduction and Analysis Facility,Hist,,,A
IRIS,e-Infrastructure for Research and Innovation for STFC,OPS,,,A
IRNC,International Research Network Connections,TS,Document-11973,,A
IRSA,Infrared Science Archive (NASA),Gen,,,A
IRU,indefeasible right to use,TS,Document-11969,,A
IS,Interface Scientist,LSST DM,,,A
IS,Integration System,Gen,,,A
ISD,Interface Support Document,,,,A
ISM,interstellar medium,TS,Document-12009,,A
ISO,Information Security Officer,LSST,,,A
ISO,International Standards Organisation,Gen,,,A
ISR,Instrument Signal Removal,LSST DM,,,A
ISSC,Informatics and Statistics Science Collaboration,Sci,,,A
ISW,Integrated Sachs-Wolfe effect,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
IT,Information Technology,Gen,,,A
ITAR,International Traffic in Arms Regulations,Gen,,,A
ITC,Information Technology Center,LSST DM,,,A
ITEM,Integrated Test \& Evaluation Model,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ITIL,Information Technology Infrastructure Library,Gen,,,A
ITL,Imaging Technology Laboratory (UA),Sci,,,A
ITO,IT Operations,OPS,,,A
ITSC,Information Technology Services Committee,Adm,,,A
ITTN,IT Technote,IT,,,A
IUSE,Improving Undergraduate STEM Education,Sci,,,A
IVOA,International Virtual Observatory Alliance,Gen,,,A
JATIS,"Journal of Astronomical Telescopes, Instruments, and Systems",Gen,,,A
JBOD,Just a Bunch of Disks,OPS,,,A
JCAP,Journal of Cosmology and Astroparticle Physics,Sci,,,A
JD,Julian Date,Gen,,,A
JDBC,Java DataBase Connectivity,Gen,,,A
JDR,Joint Directors Review,LSST,,,A
JEDI,Job Execution and Definition Interface,OPS,,,A
JHU,Johns Hopkins University,Gen,,,A
JIT,Just In Time,Gen,,,A
JMS,Java Message Service,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
JOG,Joint Oversight Group,Adm,,,A
JOR,Joint Operations status Review,OPS,,,A
JPEG,Joint Photographic Experts Group,Gen,,,A
JPG,Joint Photographic Experts Group,Gen,,,A
JPL,Jet Propulsion Laboratory (DE ephemerides),Gen,,,A
JRE,Java Runtime Environment,Gen,,,A
JSON,JavaScript Object Notation,Gen,,,A
JSR,Joint Status Review,LSST DM,,,A
JTM,Joint Technical Meeting,LSST DM,,,A
JVM,Java Virtual Machine,Gen,,,A
JWST,James Webb Space Telescope (formerly known as NGST),Gen,,,A
JWT,JSON Web Token,DM,,,A
K8S,Kubernetes provisioning system,IT LSST DM,,,A
KAGRA,Kamioka Gravitational Wave Detector,Sci,,,A
KASI,Korea Astronomy and Space Science Institute,Gen,,,A
KB,KiloByte,Gen,,,A
KBO,Kuiper-Belt Object,Gen,,,A
kbps,kilobits per second,Gen,,,A
KIPAC,Kavli Institute for Particle Astrophysics and Cosmology,Sci,,,A
KISS,"Keep It Simple, Stupid",Gen,,,A
KN,Kilonova,Sci,,,A
KPM,Key Performance Metric,LSST DM,,,A
KPMO,Kitt Peak Mountain Operations,OPS,,,A
KPNO,Kitt Peak National Observatory,OPS,,,A
KW,Kilowatt,Gen,,,A
L#,Example(L&7) Level 7 of observatory complex,Gen,,,A
L1,Lens 1,TS,,,A
L2,Lens 2,TS,,,A
L3,Lens 3,TS,,,A
L4,Lens 4,TS,,,A
LAG,List of Acronyms and Glossary,Gen,,,A
LAMOST,"Large Sky Area Multi-Object Fibre Spectroscopic Telescope, also known as the Guo Shoujing Telescope",Sci,,,A
LAN,Local Area Network,Gen,,,A
LAPACK,Linear Algebra PACKage,Gen,,,A
LASER,Light Amplification by Stimulated Emission of Radiation,Gen,,,A
LaTeX,(Leslie) Lamport TeX (document markup language and document preparation system),Gen,,,A
LATISS,LSST Atmospheric Transmission Imager and Slitless Spectrograph,TS,,,A
LBT,Large Binocular Telescope,TS,Document-11954,,A
LBTO,Large Binocular Telescope Observatory,OPS,,,A
LBV,Luminous Blue Variables,Sci,,,A
LCA,Document handle LSST camera subsystem controlled documents,CAM,,,A
LCDM,$\Lambda$ Cold Dark Matter; cosmological model,Sci,,,A
LCLS,Linac Coherent Light Source,Gen,,,A
LCO,Las Cumbres Observatories,Gen,,,A
LCR,LSST Change Request,LSST DM,,,A
LCURM,AIP Liaison Committee on Underrepresented Minorities,Gen,https://www.aip.org/member-benefits/liaison-committees/,,A
LDAP,Lightweight Directory Access Protocol,IT,,,A
LDC,Local Device Controller ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
LDF,LSST Data Facility,DM,,,A
LDM,LSST Data Management (Document Handle),LSST DM,,,A
LDO,LSST Document Operations (Document Handle),LSST OPS,,,A
LED,Light-Emitting Diode,Gen,,,A
LEP,LSST EPO (Document Handle),LSST EPO,,,A
LF,luminosity function,TS,Document-11977,,A
LFA,Large File Annex,TS,,,A
LG,Local Group,Sci,,,A
LHC,Large Hadron Collider (at CERN),Gen,,,A
LHN,long haul network,TS,Document-12032,,A
LIGO,Laser Interferometer Gravitational-Wave Observatory,TS,Document-11985,,A
LILA,Links Interconnecting Latin America,TS,Document-12008,,A
LINCC,LSST Interdisciplinary Network for Collaboration and Computing,OPS,,,A
LISA,Laser Interferometer Space Antenna,TS,Document-11983,,A
LLNL,Lawrence Livermore National Laboratory,Gen,,,A
LMA,Laboratoire des Matériaux Avancés,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
LMC,Large Magellanic Cloud,Sci,,,A
LOE,Level of Effort,Gen,,,A
LOP,LSST Operations Plan,TS,Document-11950,,A
LOTO,Lock Out Tag Out,TS,Safety LPM-212,,A
LOVE,LSST Operators Visualization Environment,LSST DM,,,A
LOY,LSST Operations Year,OPS,,,A
LPGL,Lesser Public GNU general License,Gen,,,A
LPM,LSST Project Management (Document Handle),LSST DM,,,A
LPNHE,Laboratoire de Physique Nucléaire et de Hautes Énergies,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
LRG,Luminous Red Galaxies,Sci,,,A
LSB,Low Surface Brightness,Sci,,,A
LSB,La Serena Base,PMO,,,A
LSE,LSST Systems Engineering (Document Handle),LSST DM,,,A
LSP,LSST Science Platform (now Rubin Science Platform),LSST DM,,,A
LSR,LSST System Requirements; LSE-29,LSST DM,,,A
LSS,Large Scale Structure,Sci,,,A
LSST,Legacy Survey of Space and Time (formerly Large Synoptic Survey Telescope),Gen,,,A
LSST-DA,LSST Discovery Alliance,Adm,,,A
LSSTC,LSST Discovery Alliance (formerly LSST Corporation),Adm,,,A
LSSTCam,LSST Science Camera,CAM,,,A
LSSTComCam,Rubin Commissioning Camera,CAM,,,A
LSSTDA,LSST Discovery Alliance,Adm,,,A
LSSTPO,LSST Project Office,Adm,,,A
LTS,LSST Telescope and Site (Document Handle),TS,,,A
LUT,Look-Up Table,Gen,,,A
LV,Local Volume,Sci,,,A
LVDS,Low Voltage Differential Signaling,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
LVK,LIGO-Virgo-KAGRA,Sci,,,A
LVV,LSST Verification and Validation,Gen,,,A
LWS,Light-Wind Screen,TS,,,A
LZ,LUX-ZEPELIN (Dark Matter Mission),Sci,,,A
M1,Primary Mirror,TS,Document-12017,,A
M1M3,Single piece of glass for Primary Mirror/Tertiary Mirror,LSST,,,A
M2,Secondary Mirror,LSST,,,A
M3,Tertiary Mirror,TS,Document-12023,,A
MA,Maintenance,IT,,,A
MAC,Media Access Control,IT,,,A
MACHO,massive compact halo object,TS,Document-11962,,A
MAF,Metric Analysis Framework,OPS,,,A
MASCARA,Multi-site All-Sky CAmeRA,TS,,,A
MASS,Multi-Aperture Scintillation Sensor,TS,,,A
MAST,Mikulski Archive for Space Telescopes,Gen,,,A
MB,MegaByte,Gen,,,A
Mb,Megabit (1000000 bit),Gen,,,A
MBA,main belt asteroid,TS,Document-11975,,A
MBE,model-based engineering,TS,Document-11948,,A
MBps,Megabits per second,Gen,,,A
MBR,Master Boot Record,IT,,,A
MBSE,model-based systems engineering,TS,Document-11998,,A
MBTU,Mega British Thermal Unit,OPS,,,A
MC,Monte-Carlo (simulation/process),Gen,,,A
MCM,Master Control Module,TS,,,A
MCMC,Monte Carlo Markov Chain,Gen,,,A
MDP,Main Dome Platform,Gen,,,A
MEMS,micro-electronic mechanical systems,TS,Document-11995,,A
MERRA,Modern-Era Retrospective analysis for Research and Applications,Sci,,,A
MIDAS,Munich Image Data Analysis System (ESO),Gen,,,A
MIE,Major Item of Equipment,OPS,,,A
MJD,Modified Julian Date (to be avoided; see also JD),Gen,,,A
ML,Machine Learning,Sci,,,A
MLAG,Multi-chassis Link Aggregation,IT,,,A
MLP,Multi-Layer Perceptron,Sci,,,A
MMA,Multi Messenger Astronomy,OPS,,,A
MMB,Morning Mini Bus,TS,,,A
MMR,"Micro Miniature Refrigeration, Inc.",CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
MMT,Multiple Mirror Telescope,OPS,,,A
MNRAS,Monthly Notices of the Royal Astronomical Society,TS,Document-12016,,A
MOA,Memo Of Agreement,OPS,,,A
MOC,Multi-Order Coverage (IVOA standard),VO,,,A
MODTRAN,MODerate resolution TRANsmission model,TS,,,A
MOF,Multi-Object Multi-Band Fitting,OPS,,,A
MOLFLOW,Vacuum simulation software ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
MOOC,Massively Online Open Courses,Gen,,,A
MOPS,Moving Object Processing System (deprecated; see SSP),LSST DM,,,A
MOSFET,Metal-Oxide Semiconductor Field-Electric Transistor,Gen,,,A
MOSS,Multi-beam Optical Steering Sensor,LSST,,,A
MOU,Memo Of Understanding,OPS,,,A
MP,Media Protection,IT,,,A
MPA,Max Planck Institute for Astrophysics,Gen,,,A
MPC,Minor Planet Center,Gen,,,A
MPCORB,Minor Planet Center Orbit database,Gen,,,A
MPM,Master Protection Module,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
MPO,Memorandum Purchase Order,OPS DOE,,,A
MPP,Massively Parallel Process,DM,,,A
MPS,NSF Mathematical and Physical Sciences directorate,OPS,,,A
MPS/AST,"NSF Mathematical and Physical Sciences directorate‚ Division of Astronomical Sciences",OPS,,,A
MREFC,Major Research Equipment and Facility Construction,Gen,,NSF,A
MREN,Montenegrin Research and Education Network,Gen,,,A
MS,Mega Sample,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
MSB,Most Significant Bit,Gen,,,A
MSE,Maunakea Spectroscopic Explorer,Sci,,,A
MSO,Mid-Scale Observatories,OPS,,,A
MT,Main Telescope,TS,,,A
MTAOS,Main Telescope Active Optics System,TS,,,A
MTBF,Mean Time Between Failures,OPS,,,A
MTCamera,Main Telescope Camera,TS,,,A
MTDC,Modified Total Direct Costs,OPS,,,A
MTM1M3,Main Telescope M1M3,TS,,,A
MTM2,Main Telescope Secondary Mirror,TS,,,A
MTMount,Main Telescope Mount,TS,,,A
MTOFC,Main Telescope Optical Feedback Control,TS,,,A
MTPtg,Main Telescope Pointing,TS,,,A
MTQueue,Main Telescope Queue,TS,,,A
MTTR,Mean Time To Repair,OPS,,,A
MTU,Maximum Transmission Unit,IT NET,,,A
MUF,Model Uncertainty Factor,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
MW,Milky Way,Sci,,,A
MYDB,My Database,DM Gen,,,A
N9K,Cisco Nexus 9000 Series,IT,,,A
NACME,National Action Council for Minorities in Engineering,Gen,,,A
NAOJ,National Astronomical Observatory of Japan,Gen,,,A
NAS,National Academy of Science,Sci,,,A
NAS,Network Attached Storage,DM,,,A
NASA,National Aeronautics and Space Administration,Gen,,,A
NAT,Network Address Translation,IT,,,A
NAT,nodal aberration theory,TS,Document-11993,,A
NAVO,NASA Astronomical Virtual Observatories,Gen,,,A
NBD,Next Business Day,IT,,,A
NCOA,"(Obsolete, now NOIRLab) National Center for Optical-Infrared Astronomy",Gen,,,A
NCOIRA,"(Obsolete, now NOIRLab) National Center for Optical and Infrared Astronomy",TS,Document-11999,,A
NCR,Non Conformance Report,PMO,,,A
NCSA,National Center for Supercomputing Applications,Gen,,,A
NCW,Non Conformance Waiver,PMO,,,A
ND,Neutral Density,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
NDA,Non Disclosure Agreement,Gen,,,A
NDAA,National Defense Authorization Act,OPS,,,A
NEA,Near-Earth Asteroid,Gen,,,A
NED,NASA/IPAC Extragalactic Database,Gen,,,A
NEO,Near-Earth Object,Gen,,,A
NERSC,National Energy Research Scientific Computing Center,OPS,,,A
NES,North Ecliptic Spur,Sci,,,A
NET,Network Engineering Team,LSST DM,,,A
NFPA,National Fire Protection Association,OPS,,,A
NFS,Network File System,Gen,,,A
NGC,New General Catalogue,Sci,,,A
NGSS,Next-Generation Science Standards,OPS,,,A
NGVLA,Next Generation Very Large Array,OPS,,,A
NIC,Network Interface Card,DM,,,A
NICRA,(federally) Negotiated Indirect Cost Rate Agreement,Adm,,,A
NIR,Near Infrared,Sci,,,A
NIST,National Institute of Standards and Technology (USA),Gen,,,A
NLR,National Lambda Rail,TS,Document-11941,,A
NLT,NOIRLab Leadership Team,OPS,,,A
NMOC,NSF's OIR Lab Management Oversight Council,Gen,,,A
NNSA,National Nuclear Security Administration,OPS,,,A
NOAA,National Oceanic and Atmospheric Administration,Gen,,,A
NOAO,National Optical Astronomy Observatories now NOIRLab,Gen,,,A
NOC,Network Operations Center,IT,,,A
NOGLSTP,National Organization of Gay and Lesbian Scientists and Technical Professionals,Gen,,,A
NOIR,NSF's National Optical-Infrared Astronomy Research Laboratory; \url{https://noirlab.edu},Gen,,,A
NOIRLab,NSF's National Optical-Infrared Astronomy Research Laboratory; \url{https://noirlab.edu},Gen,,,A
NOS,NSF's OIR Lab Operations Services,OPS,,,A
NPCF,National Petascale Computing Facility,OPS,,,A
NRAO,National Radio Astronomy Observatory,Gen,,,A
NRC,National Research Council,OPS,,,A
NSB,National Science Board,TS,Document-11963,,A
NSBP,National Society of Black Physicists,Gen,,,A
NSF,National Science Foundation,Gen,,,A
NSF's OIR Lab,NSF's National Optical-Infrared Astronomy Research Laboratory; \url{https://noirlab.edu},Gen,,,A
NSO,National Solar Observatory,OPS,,,A
NSS,NOAO Support Services,OPS,,,A
NSTA,National Science Teachers Association,OPS,,,A
NTP,Network Time Protocol,OPS,,,A
NTS,NCSA Test Stand,DM CAM,,,A
NTT,Nippon Telegraph and Telephone Corporation,IT,,,A
NUMA,Non-Uniform Memory Access,IT,,,A
NUV,Near Ultraviolet,Sci,,,A
NVMe,Non Volatile Memory Express,DM IT,,,A
NVR,Non-Volatile Residue,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
NXOS,Nexus OS,IT,,,A
NYT,New York Times,Gen,,,A
OAB,Outreach Advisory Board,EPO,,,A
OBC,Overhead Bridge Crane,TS,,,A
OBS,Organisation Breakdown Structure,Gen,,,A
ObsCore,Observation Data Model Core Components (IVOA standard),VO,,,A
ObsLocTAP,Observation Locator Table Access Protocol (IVOA standard),VO,,,A
ObsTAP,Observation (metadata) Table Access Protocol (part of IVOA ObsCore standard),VO,,,A
OC,AURA Observatory Council,OPS,,,A
OCDD,Operations Concept Definition Document,OPS,,,A
OCPS,OCS Controlled Pipeline System,TS DM,,,A
OCS,Observatory Control System,LSST DM,,,A
OD,Outer Diameter,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ODBC,"Open DataBase Connectivity, a standard API for SQL databases",LSST DM,,,A
ODI,Obligation to Inform,PMO,,,A
ODI,Output drain current (i),CAM,,,A
OFE,Oxygen-Free Electronic,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
OGA,Other Government Agencies,OPS,,,A
OHEP,Office of High-Energy Physics,TS,Document-12001,,A
OI,Organization International,OPS,,,A
OIR,optical and infrared astronomy,TS,Document-12000,,A
OLE,Observatory Logging Environment,TS,,,A
OLPA,Office of Legislative and Public Affairs,Gen,,,A
OMB,Office of Management and Budget,OPS,,,A
OOB,Out Of Bound (Alternative network access),IT,,,A
OODS,Observatory Operations Data Service,DM,,,A
OPCC,Oficina de Protección de la Calidad del Cielo,OPS,,,A
OPD,optical path difference,TS,Document-12036,,A
OPS,Operations,LSST DM,,,A
OpSim,Operations Simulation,Sims,,,A
OPSTN,Operations Technical Note,LSST DM,,,A
ORR,Operations Readiness Review,OPS,,,A
OS,Operating System,Gen,,,A
OS,Observing Scientist,Gen,,,A
OS,Observing Specialist,Gen,,,A
OSHA,Occupational Safety and Health Administration,OPS,,,A
OSI,open systems interconnect,TS,Document-12012,,A
OSPF,Open Short Path First,IT,,,A
OSPL,OpenSplice DDS - the underlying messaging system for SAL,TS,,,A
OSS,Observatory System Specifications; LSE-30,Gen,,,A
OSS,Oil Supply System,TS,,,A
OSX,Macintosh Operating System (obsolete; now macOS),Gen,,,A
OTB,Over Target Baseline,Gen,,,A
OTM,Optical Transition Module,CAM,,,A
OTS,observatory telemetry system,TS,Document-12015,,A
OUO,Official Use Only,OPS,,,A
P5,"The Particle Physics Project Prioritization Panel is a scientific advisory panel tasked with recommending prioritization for U.S. investment in particle physics research, on the basis of various funding scenarios",Adm,,,A
P6,"Primavera, a comprehensive project management tool",Adm,,,A
PAL,Programmable Array Logic,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
Pan-STARRS,Panoramic Survey Telescope and Rapid Response System,Gen,,,A
PanDA, Production ANd Distributed Analysis system,OPS,,,A
Parsl,Parallel Scripting Library \url{http://parsl-project.org/},DM,,,A
PASP,Publications of the Astronomical Society of the Pacific,Sci,,,A
PB,PetaByte,Gen,,,A
PBI,Predominantly Black Institution,Gen,,,A
PC,Power Controller,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
PCA,Principal Component Analysis,Gen,,,A
PCB,printed circuit boards,TS,Document-12030,,A
PCI,Peripheral Component Interconnect,Gen,,,A
PCS,Pumped Coolant System,CAM,,,A
PCTI,Parallel Charge Transfer Inefficiency,CAM,,,A
PCW,Project Community Workshop,LSST DM,,,A
PD,Program Development,OPS,,,A
PDAC,Prototype Data Access Center,LSST DM,,,A
PDF,Portable Document Format,Gen,,,A
PDF,Probability Density Function,Sci,,,A
PDM,Phase Dispersion Minimization,OPS,,,A
PDM,SOLIDWORKS¬Æ Product Data Management,TS,,,A
PDN,Packet Data Network,IT,,,A
PDR,Preliminary Design Review,LSST DM,,,A
PDR1,Public Data Release 1 (HSC),OPS,,,A
PDR2,Public Data Release 2 (HSC),OPS,,,A
PDS,Planetary Data System,Sci,,,A
PDU,Power Distribution Unit,LSST DM,,,A
PE,Physical and Environmental Protection,IT,,,A
PEN,Penetration testing,IT,,,A
PEP,Project Execution Plan,Adm,,,A
PFS,Prime Focus Spectrograph,Gen,,,A
PGP,Pretty Good Protocol,CAM,,,A
PHA,potentially hazardous asteroids,TS,Document-11971,,A
photo-z,photometric redshift,Sci,,,A
PI,Principle Investigator,Sci OPS,,,A
PID,Proportional-Integral-Derivative,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
PIFF,PSFs In the Full FOV,DM,,,A
PII,personally identifiable information,TS,Document-11976,,A
PIM,Protocol Independent Multicast,IT,,,A
PL,Planning,IT,,,A
PLATO,PLAnetary Transits and Oscillations of stars,Sci,,,A
PLC,Programmable Logic Controller,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
PLL,Phase-Locked Loop,Gen,,,A
PM,Project Manager,LSST DM,,,A
PMCS,Project Management Controls System,LSST DM,,,A
PMM,precision measuring machine,TS,Document-11988,,A
PMO,Project Management Office,Adm,,,A
PMP,(DM) Project Management Plan; LDM-294,LSST DM,,,A
PNG,Portable Network Graphics,DM,,,A
PO,Program Operations,OPS,,,A
POC,Proof Of Concept,Gen,,,A
POC,People Of Color,Gen,,,A
PoC,Point of Contact,Gen,,,A
POCIT,People Of Color In Tech,Gen,,,A
POE,POly Esters,OPS,,,A
POI,Point Of Interest,OPS,,,A
POM,Program Operations Manager,OPS,,,A
POP,Project Operating Plan,LSST OPS,,,A
POSIX,Portable Operating System Interface,Gen,,,A
PPDB,Prompt Products DataBase,DM,,,A
PPE,Personal Protection Equipment,OPS,,,A
PR,Pull Request,Gen,,,A
PRC,Procurement Charge,OPS DOE,,,A
PRT,Personal Research Time,OPS,,,A
PS,Personnel Security,IT,,,A
PS,Project Scientist,LSST DM,,,A
PS1,Pan-STARRS 1 survey,LSST DM,,,A
PS1-MDS,PS1 Medium Deep Survey,Sci,,,A
PSD,power spectral density,TS,Document-11996,,A
PSE,Project Systems Engineering,PSE,,,A
PSF,Point Spread Function,Gen,,,A
PST,Project Science Team,LSST DM,,,A
PSTN,Project Science Technical Note,LSST DM,,,A
PTC,Photon Transfer Curve,CAM,,,A
PTF,Palomar Transient Factory,Sci,,,A
PTP,Precision Time Protocol,DM,,,A
PV,Peak to Valley,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
PVI,Processed Visit Image,DM,,,A
PWI,Predominantly White Institution,Gen,,,A
PXE,Preboot eXecution Environment,IT,,,A
PXI,PCI eXtensions for Instrumentation,Gen,,,A
PZ,photo-z,Sci,,,A
Q1,Quarter one,Gen,,,A
Q2,Quarter two,Gen,,,A
